data_seed,node_index,top_k,model_seed_a,model_seed_b,jaccard
2029,440,2,0,1,1.0
2029,440,2,0,2,1.0
2029,440,2,1,2,1.0
2029,440,4,0,1,1.0
2029,440,4,0,2,1.0
2029,440,4,1,2,1.0
2029,440,6,0,1,1.0
2029,440,6,0,2,1.0
2029,440,6,1,2,1.0
2029,440,8,0,1,1.0
2029,440,8,0,2,1.0
2029,440,8,1,2,1.0
2029,215,2,0,1,1.0
2029,215,2,0,2,1.0
2029,215,2,1,2,1.0
2029,215,4,0,1,1.0
2029,215,4,0,2,1.0
2029,215,4,1,2,1.0
2029,215,6,0,1,1.0
2029,215,6,0,2,1.0
2029,215,6,1,2,1.0
2029,215,8,0,1,1.0
2029,215,8,0,2,1.0
2029,215,8,1,2,1.0
2029,597,2,0,1,1.0
2029,597,2,0,2,1.0
2029,597,2,1,2,1.0
2029,597,4,0,1,1.0
2029,597,4,0,2,1.0
2029,597,4,1,2,1.0
2029,597,6,0,1,1.0
2029,597,6,0,2,1.0
2029,597,6,1,2,1.0
2029,597,8,0,1,1.0
2029,597,8,0,2,1.0
2029,597,8,1,2,1.0
2029,58,2,0,1,1.0
2029,58,2,0,2,1.0
2029,58,2,1,2,1.0
2029,58,4,0,1,1.0
2029,58,4,0,2,1.0
2029,58,4,1,2,1.0
2029,58,6,0,1,1.0
2029,58,6,0,2,1.0
2029,58,6,1,2,1.0
2029,58,8,0,1,1.0
2029,58,8,0,2,1.0
2029,58,8,1,2,1.0
2029,350,2,0,1,1.0
2029,350,2,0,2,1.0
2029,350,2,1,2,1.0
2029,350,4,0,1,1.0
2029,350,4,0,2,1.0
2029,350,4,1,2,1.0
2029,350,6,0,1,1.0
2029,350,6,0,2,1.0
2029,350,6,1,2,1.0
2029,350,8,0,1,1.0
2029,350,8,0,2,1.0
2029,350,8,1,2,1.0
2029,214,2,0,1,1.0
2029,214,2,0,2,1.0
2029,214,2,1,2,1.0
2029,214,4,0,1,1.0
2029,214,4,0,2,1.0
2029,214,4,1,2,1.0
2029,214,6,0,1,1.0
2029,214,6,0,2,1.0
2029,214,6,1,2,1.0
2029,214,8,0,1,1.0
2029,214,8,0,2,1.0
2029,214,8,1,2,1.0
2029,330,2,0,1,1.0
2029,330,2,0,2,1.0
2029,330,2,1,2,1.0
2029,330,4,0,1,1.0
2029,330,4,0,2,1.0
2029,330,4,1,2,1.0
2029,330,6,0,1,1.0
2029,330,6,0,2,1.0
2029,330,6,1,2,1.0
2029,330,8,0,1,1.0
2029,330,8,0,2,1.0
2029,330,8,1,2,1.0
2029,196,2,0,1,1.0
2029,196,2,0,2,1.0
2029,196,2,1,2,1.0
2029,196,4,0,1,1.0
2029,196,4,0,2,1.0
2029,196,4,1,2,1.0
2029,196,6,0,1,1.0
2029,196,6,0,2,1.0
2029,196,6,1,2,1.0
2029,196,8,0,1,1.0
2029,196,8,0,2,1.0
2029,196,8,1,2,1.0
2029,181,2,0,1,1.0
2029,181,2,0,2,1.0
2029,181,2,1,2,1.0
2029,181,4,0,1,1.0
2029,181,4,0,2,1.0
2029,181,4,1,2,1.0
2029,181,6,0,1,1.0
2029,181,6,0,2,1.0
2029,181,6,1,2,1.0
2029,181,8,0,1,1.0
2029,181,8,0,2,1.0
2029,181,8,1,2,1.0
2029,514,2,0,1,1.0
2029,514,2,0,2,1.0
2029,514,2,1,2,1.0
2029,514,4,0,1,1.0
2029,514,4,0,2,1.0
2029,514,4,1,2,1.0
2029,514,6,0,1,1.0
2029,514,6,0,2,1.0
2029,514,6,1,2,1.0
2029,514,8,0,1,1.0
2029,514,8,0,2,1.0
2029,514,8,1,2,1.0
2029,557,2,0,1,1.0
2029,557,2,0,2,1.0
2029,557,2,1,2,1.0
2029,557,4,0,1,1.0
2029,557,4,0,2,1.0
2029,557,4,1,2,1.0
2029,557,6,0,1,1.0
2029,557,6,0,2,1.0
2029,557,6,1,2,1.0
2029,557,8,0,1,1.0
2029,557,8,0,2,1.0
2029,557,8,1,2,1.0
2029,127,2,0,1,1.0
2029,127,2,0,2,1.0
2029,127,2,1,2,1.0
2029,127,4,0,1,1.0
2029,127,4,0,2,1.0
2029,127,4,1,2,1.0
2029,127,6,0,1,1.0
2029,127,6,0,2,1.0
2029,127,6,1,2,1.0
2029,127,8,0,1,1.0
2029,127,8,0,2,1.0
2029,127,8,1,2,1.0
2029,496,2,0,1,1.0
2029,496,2,0,2,1.0
2029,496,2,1,2,1.0
2029,496,4,0,1,1.0
2029,496,4,0,2,1.0
2029,496,4,1,2,1.0
